symptom_text,ping_gateway,has_ip,ping_ip,ping_domain,ip_conflict,arp_table_ok,subnet_matches_gw,dns_response_time_ms,packet_loss_pct,traceroute_hops,network_type,os_type,diagnosis,severity,solutions,timestamp,dataset_version
dhcp nak received instead of ack,0,0,0,0,0,1,0,1236,88,1,Ethernet,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-15 11:00:00,3.0
dhcp lease expired and cannot renew,0,0,0,0,0,1,0,520,93,1,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-15 12:00:00,3.0
wifi not working adapter unresponsive,0,0,0,0,0,0,0,29,100,0,WiFi,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-15 13:00:00,3.0
network adapter shows limited connectivity,0,0,0,0,0,1,0,1758,96,1,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-15 14:00:00,3.0
dhcp lease expired and cannot renew,0,0,0,0,0,1,0,2614,80,1,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-15 15:00:00,3.0
internet was working then suddenly dropped,0,1,0,0,0,1,1,2806,85,2,Ethernet,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-15 16:00:00,3.0
traceroute fails at first hop only,0,1,0,0,0,1,1,2721,94,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-15 17:00:00,3.0
dns query is timing out every time,1,1,1,0,0,1,1,16578,2,8,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-15 18:00:00,3.0
cannot use this ip address it is taken,0,1,0,0,1,0,1,526,30,2,WiFi,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-15 19:00:00,3.0
host bits set in subnet mask incorrectly,0,1,0,0,0,1,0,1917,96,1,Ethernet,Windows,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-15 20:00:00,3.0
subnet does not match gateway subnet,0,1,0,0,0,1,0,759,100,1,WiFi,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-15 21:00:00,3.0
network card driver missing or corrupted,0,0,0,0,0,0,0,91,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-15 22:00:00,3.0
gateway device powered off or faulty,0,1,0,1,0,1,1,2828,93,1,WiFi,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-15 23:00:00,3.0
flushing DNS cache resolves temporarily,1,1,1,0,0,1,1,222,2,18,Ethernet,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-16 00:00:00,3.0
internet was working then suddenly dropped,0,1,0,0,0,1,1,4819,74,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-16 01:00:00,3.0
wrong subnet mask configured on this device,0,1,0,0,0,1,0,797,97,0,Ethernet,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-16 02:00:00,3.0
wifi connected but no internet access,0,1,0,0,0,1,1,1770,95,2,WiFi,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-16 03:00:00,3.0
wireless adapter completely dead no signal,0,0,0,0,0,0,0,91,100,0,WiFi,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-16 04:00:00,3.0
google.com does not resolve to any IP,1,1,1,0,0,1,1,173,5,17,WiFi,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-16 05:00:00,3.0
ping works but browser hangs on dns step,1,1,1,0,0,1,1,15286,2,19,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-16 06:00:00,3.0
can reach server by IP but not by hostname,1,1,1,0,0,1,1,129,1,12,Ethernet,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-16 07:00:00,3.0
high latency on all dns queries,1,1,1,0,0,1,1,16797,6,9,Ethernet,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-16 08:00:00,3.0
intermittent dns timeouts throughout the day,1,1,1,0,0,1,1,11750,5,10,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-16 09:00:00,3.0
cannot communicate due to duplicate ip,0,1,0,0,1,0,1,969,31,2,Ethernet,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-16 10:00:00,3.0
host bits set in subnet mask incorrectly,0,1,0,0,0,1,0,2129,99,0,WiFi,Windows,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-16 11:00:00,3.0
ip configuration failed dhcp not responding,0,0,0,0,0,1,0,1298,98,1,WiFi,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-16 12:00:00,3.0
network conflict notification from Windows,0,1,0,0,1,0,1,2840,28,1,Ethernet,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-16 13:00:00,3.0
no packets getting through to ISP,0,1,0,0,0,1,1,4090,87,1,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-16 14:00:00,3.0
no packets getting through to ISP,0,1,0,0,0,1,1,4107,67,1,WiFi,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-16 15:00:00,3.0
gateway on different subnet than device,0,1,0,0,0,1,0,717,98,1,Ethernet,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-16 16:00:00,3.0
intermittent connectivity due to ip conflict,0,1,0,0,1,0,1,2542,38,1,WiFi,macOS,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-16 17:00:00,3.0
dns server not responding within timeout,1,1,1,0,0,1,1,11532,0,20,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-16 18:00:00,3.0
dns lookup failure for every domain,1,1,1,0,0,1,1,128,0,13,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-16 19:00:00,3.0
invalid or missing default route to gateway,0,1,0,0,0,1,1,1807,98,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-16 20:00:00,3.0
changing DNS server fixes the problem,1,1,1,0,0,1,1,389,5,18,Ethernet,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-16 21:00:00,3.0
network unreachable error from ping command,0,1,0,0,0,1,1,1674,96,1,Ethernet,Windows,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-16 22:00:00,3.0
cannot ARP for gateway across subnet boundary,0,1,0,0,0,1,0,977,95,1,Ethernet,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-16 23:00:00,3.0
routing problem preventing gateway access,0,1,0,0,0,1,1,1430,96,1,WiFi,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-17 00:00:00,3.0
recursive dns query timing out,1,1,1,0,0,1,1,23605,4,15,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-17 01:00:00,3.0
ip configuration failed dhcp not responding,0,0,0,0,0,1,0,904,90,0,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-17 02:00:00,3.0
DNS server is not reachable,1,1,1,0,0,1,1,392,0,14,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-17 03:00:00,3.0
network device unavailable or missing,0,0,0,0,0,0,0,86,100,0,Ethernet,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-17 04:00:00,3.0
cannot use this ip address it is taken,0,1,0,0,1,0,1,1303,60,2,WiFi,macOS,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-17 05:00:00,3.0
gateway ip not responding to arp requests,0,1,0,0,0,1,1,2086,99,1,WiFi,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-17 06:00:00,3.0
local network works but no internet browsing,1,1,1,0,0,1,1,370,1,10,WiFi,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-17 07:00:00,3.0
adapter not responding to enable command,0,1,0,0,0,0,0,37,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-17 08:00:00,3.0
dns resolution failed error message,1,1,1,0,0,1,1,201,2,14,Ethernet,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-17 09:00:00,3.0
flushing DNS cache resolves temporarily,0,1,1,0,0,1,1,329,5,10,Ethernet,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-17 10:00:00,3.0
dhcp nak received instead of ack,0,0,0,0,0,1,0,1647,99,1,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-17 11:00:00,3.0
dns server unreachable but gateway is fine,1,1,1,0,0,1,1,26111,6,12,Ethernet,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-17 12:00:00,3.0
cannot obtain dhcp lease on this network,0,0,0,0,0,1,0,2141,80,0,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-02-17 13:00:00,3.0
invalid subnet assigned by dhcp or static,0,1,0,0,0,1,0,2849,99,0,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-17 14:00:00,3.0
static ip clashes with dhcp assigned address,0,1,0,0,1,0,1,2945,20,2,WiFi,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-02-17 15:00:00,3.0
uninstalling driver fixes adapter temporarily,0,0,0,0,0,0,0,38,100,0,WiFi,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-17 16:00:00,3.0
wifi adapter not found by operating system,0,0,0,0,0,0,0,33,100,0,Ethernet,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-17 17:00:00,3.0
gateway on different subnet than device,0,1,0,0,0,1,0,2524,96,0,WiFi,Windows,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-02-17 18:00:00,3.0
